,0,1,2,3,4,5,6
243,70,76,77,77,76,77,77
244,70,70,88,73,88,80,73
245,70,88,70,88,80,73,70
246,86,70,70,80,80,86,80
247,74,70,70,74,70,73,73
248,78,70,77,70,77,78,78
249,70,70,70,77,77,70,70
250,87,70,70,70,73,70,87
251,70,77,77,77,77,77,77
252,87,73,73,70,73,70,74
253,80,86,86,80,70,86,86
254,73,73,74,73,78,73,73
255,70,86,77,77,86,77,70
256,70,86,86,77,86,86,86
257,87,73,87,70,73,77,73
258,87,80,70,80,70,87,70
259,77,76,77,70,70,77,70
260,87,85,73,85,70,85,88
261,70,70,76,76,77,70,76
262,80,80,80,70,80,80,80
263,70,70,70,73,70,73,70
264,87,70,87,88,87,87,88
265,88,73,88,73,63,73,88
266,73,70,73,74,73,70,73
267,0,72,0,0,0,0,0
268,86,70,80,80,70,70,70
269,77,70,70,70,70,70,77
270,70,70,88,88,70,88,80
271,87,87,70,87,89,87,87
272,70,70,80,80,70,80,70
273,68,88,78,78,88,78,73
274,86,86,77,86,77,77,68
275,68,86,68,68,68,86,86
276,68,80,80,80,68,80,68
277,80,80,68,80,68,80,68
278,80,80,80,69,86,86,86
279,68,80,80,68,68,68,80
280,86,86,86,80,86,69,69
281,88,73,67,73,67,73,88
282,80,69,80,80,80,69,80
283,80,80,80,86,86,86,69
284,86,69,86,69,77,69,86
285,80,80,69,80,80,69,80
286,69,80,89,86,86,86,86
287,80,69,80,69,80,80,80
288,69,83,88,69,88,69,88
289,84,80,84,69,84,80,80
290,70,70,70,77,77,77,70
291,85,70,85,88,85,70,88
292,70,70,70,80,80,80,70
293,78,70,70,70,78,70,78
294,77,77,77,70,70,77,77
295,73,73,73,70,88,70,88
296,80,70,80,80,70,70,80
297,80,80,70,70,70,80,70
298,70,73,73,87,88,73,73
299,80,70,78,78,82,82,80
300,73,70,73,73,70,70,70
301,70,70,77,70,77,77,77
302,88,88,88,85,82,88,70
303,80,80,70,70,70,80,70
304,69,69,74,74,76,76,69
305,70,70,80,80,70,70,70
306,70,86,70,86,86,86,86
307,78,70,88,85,78,70,85
308,76,80,70,70,81,70,81
309,78,70,70,70,78,70,78
310,70,80,80,70,70,80,80
311,86,80,86,70,70,88,70
312,70,85,78,78,85,77,78
313,80,70,80,80,86,80,73
314,76,73,70,73,76,76,76
315,71,88,88,88,88,80,80
316,80,80,70,70,70,77,70
317,80,66,80,80,66,66,66
318,66,89,89,80,89,66,66
319,77,69,69,69,86,84,84
320,69,79,69,69,69,69,79
321,69,69,77,77,69,77,77
322,88,70,85,88,85,88,88
323,88,88,73,88,70,73,70
324,70,70,70,85,85,85,85
325,70,80,70,80,80,88,70
326,70,80,70,70,89,70,73
327,70,78,80,70,78,70,80
328,73,88,85,85,73,73,85
329,78,88,71,80,88,80,88
330,80,80,70,80,80,70,80
331,74,74,70,70,74,70,70
332,78,70,70,88,78,88,70
333,88,85,88,88,85,85,70
334,85,70,78,73,70,85,70
335,77,70,70,70,77,70,77
336,78,88,88,70,70,70,70
337,70,77,80,88,77,80,70
338,70,77,77,77,77,77,70
339,80,73,80,80,73,70,80
340,70,70,80,70,80,80,80
341,70,77,77,77,77,77,70
342,85,77,77,70,85,85,77
343,87,83,87,73,87,83,87
344,80,80,70,80,80,70,70
345,70,70,70,70,77,80,80
346,70,78,80,80,70,70,78
347,71,80,80,71,77,71,71
348,78,88,71,78,88,78,78
349,73,71,88,73,73,88,71
350,85,88,73,73,88,88,71
351,71,83,83,71,71,83,83
352,70,70,70,84,70,70,84
353,73,71,87,83,87,87,71
354,77,71,77,71,71,71,86
355,88,87,88,87,74,87,71
356,85,67,67,67,85,85,67
357,80,80,48,80,80,80,48
358,87,73,87,88,87,88,88
359,70,70,88,88,70,88,70
360,70,79,70,79,79,79,70
361,88,88,78,78,70,88,78
362,71,71,73,71,77,84,71
363,68,73,68,73,73,73,73
364,68,77,68,77,68,68,77
365,80,80,68,68,68,80,68
366,68,80,68,80,68,68,68
367,68,77,68,77,68,68,68
368,69,69,77,69,69,69,69
369,77,69,69,69,69,69,69
370,88,80,69,88,69,88,88
371,69,69,86,69,80,80,86
372,77,77,77,77,68,77,68
373,68,87,74,73,87,74,68
374,73,76,76,73,68,76,68
375,68,68,80,68,68,80,68
376,77,77,67,67,77,77,77
377,67,76,67,76,77,67,67
378,80,67,67,67,67,80,67
379,68,68,68,68,83,68,68
380,67,87,67,73,73,67,87
381,86,67,67,67,67,86,86
382,67,77,77,77,67,67,77
383,77,76,76,76,77,67,76
384,67,77,67,67,77,67,67
385,86,74,77,73,77,77,86
386,66,66,66,77,66,66,66
387,66,80,80,66,66,66,66
388,73,67,67,77,77,77,67
389,67,76,76,76,76,76,74
390,77,77,66,66,77,66,66
391,66,77,73,73,66,77,77
392,80,66,66,66,80,80,80
393,66,77,66,66,66,66,77
394,77,85,85,85,67,77,77
395,77,66,66,77,77,66,66
396,67,77,67,77,83,83,67
397,73,66,73,73,66,66,66
398,87,74,76,87,73,87,66
399,77,77,73,74,66,74,66
400,77,67,76,77,76,67,77
401,77,68,77,68,77,77,77
402,63,63,63,63,86,88,86
403,62,80,80,73,74,62,73
404,75,75,13,75,75,75,75
405,73,74,74,85,85,74,69
406,69,83,88,83,83,88,88
407,77,69,69,77,69,77,69
408,69,77,88,75,77,88,69
409,80,77,69,69,77,77,77
410,77,77,77,77,69,77,77
411,87,77,69,86,87,81,69
412,77,69,77,77,77,77,69
413,69,83,69,69,83,69,69
414,77,77,55,55,77,77,77
415,76,48,77,48,48,77,77
416,76,76,76,30,76,80,30
417,80,76,34,76,34,34,34
418,84,84,75,75,84,23,23
419,77,76,76,76,84,37,37
420,84,84,24,76,24,84,84
421,86,80,69,80,69,86,69
422,75,76,69,77,75,77,69
423,80,80,55,81,81,55,80
424,69,83,69,69,83,69,83
425,65,77,77,77,77,65,65
426,87,88,59,59,88,76,73
427,80,35,80,80,35,35,80
428,77,44,77,77,44,44,44
429,87,24,80,87,24,87,80
430,6,89,6,77,6,89,77
431,73,73,74,74,73,59,74
432,75,76,75,75,76,76,75
433,62,77,62,77,62,62,62
434,29,87,87,29,87,29,29
435,73,42,77,77,42,77,77
436,83,83,54,83,54,83,54
437,65,83,65,83,83,83,83
438,83,83,56,83,83,56,83
439,83,66,83,66,83,83,83
440,55,83,83,83,83,83,83
441,83,52,83,52,83,52,52
442,63,63,83,83,83,83,63
443,36,36,83,36,83,83,36
444,83,83,31,87,87,83,83
445,18,18,18,83,83,83,83
446,83,49,83,49,49,83,83
447,83,83,83,49,83,83,49
448,83,49,83,49,49,49,49
449,52,52,74,87,87,52,52
450,87,87,74,73,62,74,62
451,77,51,77,84,86,84,77
452,73,51,83,51,83,73,51
453,56,56,56,73,83,73,73
454,69,80,80,80,69,80,69
455,73,73,73,73,70,70,73
456,73,73,73,73,77,73,70
457,70,80,76,74,76,70,70
458,80,80,80,80,68,68,80
459,80,80,68,80,68,80,68
460,80,68,68,80,80,80,68
461,80,68,80,80,68,80,68
462,80,80,86,80,65,86,86
463,67,74,74,74,67,67,74
464,80,67,67,67,67,67,80
465,74,76,74,74,74,74,74
466,65,88,65,88,65,65,88
467,66,66,80,66,80,80,80
468,80,80,80,80,66,80,66
469,66,66,66,80,66,66,66
470,90,66,90,90,66,90,66
471,89,69,69,80,69,89,89
472,74,73,69,73,73,73,73
473,75,76,69,84,75,84,75
474,36,36,36,89,36,89,89
475,80,69,69,69,69,69,69
476,77,69,77,77,77,77,77
477,76,77,77,76,69,76,77
478,77,86,77,13,77,77,13
479,31,85,31,31,31,31,85
480,88,32,32,77,77,77,32
481,80,77,33,77,77,80,33
482,78,78,32,78,77,78,32
483,15,15,80,89,86,80,15
484,14,14,14,82,14,14,82
485,86,86,37,84,37,37,84
486,27,86,27,77,27,86,77
487,86,77,26,86,86,86,26
488,23,23,82,23,23,23,82
489,86,88,82,88,86,19,86
490,77,77,77,77,28,86,77
491,11,73,74,73,74,74,74
492,80,80,80,80,80,28,80
493,7,7,7,7,7,85,85
494,77,77,77,13,77,13,77
495,77,77,74,74,74,74,77
496,19,80,80,80,19,19,19
497,11,11,77,11,77,11,77
498,74,74,89,89,73,89,73
499,31,31,31,80,80,80,31
500,76,69,69,69,74,76,76
501,84,14,14,75,75,75,76
502,89,89,89,89,77,89,77
503,45,80,80,45,80,45,45
504,40,78,40,78,80,80,80
505,88,27,88,27,27,27,27
506,80,80,28,28,80,28,80
507,24,80,80,80,24,80,80
508,69,69,80,69,80,80,80
509,80,62,80,80,62,80,80
510,27,90,80,27,80,73,80
511,35,35,74,74,35,74,89
512,77,77,60,60,80,86,77
513,88,88,88,22,22,22,22
514,50,50,50,77,50,50,86
515,70,70,73,70,73,80,80
516,77,77,56,77,77,77,77
517,52,52,52,86,80,86,80
518,80,80,63,80,63,63,63
519,74,74,74,74,74,74,74
520,36,36,36,74,36,36,74
521,89,80,51,51,51,80,51
522,77,77,80,80,77,59,59
523,80,77,40,40,40,80,77
524,77,77,77,77,13,13,13
525,85,82,19,82,19,19,19
526,74,80,80,32,32,32,74
527,80,55,80,80,80,55,80
528,80,89,57,89,57,57,89
529,58,80,80,80,58,80,80
530,48,48,48,48,74,74,48
531,86,86,86,86,86,80,86
532,86,70,86,86,70,86,70
533,85,85,70,85,85,70,70
534,70,80,70,70,80,80,70
535,77,77,70,77,70,86,86
536,70,70,80,70,70,70,80
537,80,80,80,64,64,80,80
538,76,84,76,75,84,70,76
539,76,70,70,76,70,70,77
540,68,68,68,68,73,68,68
541,73,68,74,73,74,73,68
542,86,75,86,76,75,84,76
543,84,84,80,68,84,84,68
544,69,80,69,80,78,69,69
545,86,86,77,86,77,77,68
546,88,88,73,73,88,88,88
547,78,69,69,69,78,69,69
548,69,81,81,69,69,81,69
549,80,89,80,89,68,89,80
550,88,88,73,88,73,88,88
551,68,83,68,83,68,83,68
552,68,68,87,68,87,68,87
553,80,80,86,86,68,80,80
554,68,73,73,68,68,74,68
555,68,68,80,80,80,68,68
556,68,68,68,68,90,90,68
557,67,84,67,67,80,84,84
558,80,67,81,88,88,67,81
559,83,80,67,83,67,67,67
560,87,74,68,76,81,81,68
561,67,83,83,67,67,67,83
562,68,74,74,90,68,74,73
563,83,68,68,68,83,68,83
564,83,77,77,68,83,77,77
565,88,88,83,88,68,83,68
566,74,74,73,73,67,73,74
567,67,83,83,67,83,83,67
568,67,73,73,86,73,88,73
569,80,83,83,67,67,80,80
570,67,90,90,90,67,67,67
571,77,88,66,77,88,88,88
572,88,73,73,73,73,88,67
573,88,66,88,66,88,83,83
574,66,66,88,85,86,85,88
575,77,67,77,67,90,67,90
576,66,78,73,74,73,78,74
577,87,66,77,87,66,87,77
578,73,73,87,66,66,66,66
579,77,77,77,77,66,66,77
580,68,86,68,68,86,86,68
581,80,88,88,88,88,80,80
582,66,80,66,80,66,80,66
583,66,66,78,66,78,88,66
584,76,76,66,76,76,80,66
585,77,66,77,66,66,77,66
586,73,73,67,73,67,67,67
587,80,85,80,85,85,80,66
588,76,76,84,75,84,75,76
589,42,42,42,42,90,42,90
590,69,83,69,73,73,73,87
591,88,69,69,88,69,80,80
592,68,68,85,88,68,85,68
593,66,66,89,66,66,66,66
594,86,69,80,80,80,69,69
595,88,69,69,88,88,88,69
596,84,69,75,76,84,76,76
597,88,73,73,88,88,88,88
598,80,77,80,80,69,80,69
599,73,73,73,69,73,73,73
600,69,76,69,76,76,69,69
601,89,74,74,74,16,74,89
602,24,24,86,86,84,24,84
603,85,88,85,88,85,85,88
604,77,77,7,77,77,7,7
605,17,84,17,17,17,84,17
606,23,80,80,80,23,23,80
607,13,88,13,13,86,88,88
608,18,86,86,88,88,85,85
609,23,23,77,77,77,77,23
610,84,31,31,31,84,31,31
611,78,17,82,17,78,78,78
612,10,80,10,80,10,10,80
613,77,9,9,77,77,77,9
614,80,29,29,80,29,29,80
615,8,88,88,88,88,88,8
616,41,87,41,87,41,41,83
617,80,80,3,80,3,3,80
618,80,80,28,28,28,80,28
619,69,80,80,88,69,69,80
620,69,80,80,80,80,69,80
621,28,90,90,28,90,90,90
622,76,33,74,33,74,33,74
623,76,76,76,67,76,76,67
624,76,18,84,76,18,76,18
625,76,76,75,76,75,75,36
626,22,80,80,80,80,76,22
627,80,80,80,80,80,64,80
628,78,80,69,80,80,69,80
629,77,55,55,77,77,77,77
630,38,38,38,38,84,77,77
631,86,65,86,65,86,86,89
632,55,55,80,80,55,80,55
633,11,11,11,80,11,80,80
634,69,79,69,69,69,69,69
635,83,53,53,53,53,53,83
636,88,73,87,74,54,73,74
637,54,77,54,83,83,83,54
638,55,55,55,80,80,80,55
639,80,80,52,80,52,52,52
640,80,62,80,62,62,80,80
641,89,80,30,80,80,89,80
642,80,78,82,78,80,80,63
643,80,86,80,80,67,80,86
644,79,61,79,61,61,61,61
645,63,79,63,63,63,79,63
646,90,90,90,90,90,42,42
647,80,58,89,58,80,80,80
648,25,77,77,77,25,86,86
649,80,88,88,78,78,57,78
650,80,80,30,80,80,30,30
651,62,89,89,89,62,62,80
652,80,63,80,77,80,80,77
653,78,88,31,88,31,88,31
654,82,88,88,47,88,88,47
655,74,59,77,80,77,77,77
656,78,88,78,78,88,88,78
657,88,88,82,88,82,88,88
658,63,80,80,63,63,80,80
659,88,77,85,77,85,85,17
660,80,64,64,80,64,64,80
661,90,25,25,25,25,25,90
662,86,86,53,86,80,53,53
663,52,77,52,77,77,77,52
664,80,80,80,57,80,80,57
665,83,87,87,83,83,88,87
666,47,83,47,83,83,83,83
667,50,83,50,83,83,50,50
668,54,73,54,73,83,73,54
669,83,64,83,64,83,83,64
670,83,83,66,66,66,83,66
671,8,83,8,8,83,83,8
672,65,83,83,83,83,83,83
673,88,82,82,88,35,35,82
674,83,55,55,55,83,83,55
675,83,83,83,83,83,1,83
676,69,80,69,80,80,80,80
677,79,79,79,79,79,70,79
678,80,80,80,80,80,70,88
679,74,73,54,54,73,74,74
680,70,73,73,70,70,74,74
681,70,83,70,70,70,83,83
682,70,83,83,88,83,85,83
683,70,70,77,70,70,77,70
684,88,66,66,66,88,88,73
685,73,88,88,69,73,69,69
686,73,66,73,66,80,73,80
687,70,70,89,70,70,89,70
688,70,70,70,70,77,77,70
689,70,70,70,73,70,73,88
690,80,70,80,89,89,80,80
691,82,71,82,88,87,88,82
692,86,86,77,80,80,86,68
693,80,68,80,80,80,68,68
694,86,68,86,68,86,68,68
695,68,68,68,77,80,68,77
696,80,69,88,80,80,69,69
697,80,68,80,80,80,68,68
698,67,67,80,80,80,80,80
699,80,67,80,67,67,67,67
700,77,68,68,68,68,77,68
701,79,66,66,79,66,66,79
702,86,77,67,67,86,86,86
703,80,67,67,80,80,80,80
704,80,66,66,66,80,80,66
705,86,25,84,25,25,84,84
706,69,83,83,83,83,69,83
707,64,80,80,80,64,80,64
708,80,80,80,80,62,80,62
709,65,77,77,65,77,77,77
710,77,77,58,77,77,58,77
711,80,69,80,80,80,80,80
712,77,80,60,80,60,80,77
713,68,80,68,68,80,80,80
714,86,80,86,86,86,80,68
715,77,68,68,77,80,80,77
716,86,68,68,80,80,86,80
717,69,69,69,80,80,88,80
718,69,77,69,77,69,69,77
719,77,67,89,67,77,77,77
720,80,74,74,68,74,73,68
721,77,68,68,77,77,77,77
722,77,68,77,68,77,68,77
723,68,68,68,77,80,68,77
724,86,86,68,86,68,80,80
725,77,67,67,67,77,77,77
726,80,76,68,76,76,68,68
727,80,86,80,80,67,80,67
728,87,67,77,77,67,87,87
729,67,67,67,67,67,80,80
730,80,69,86,69,80,86,69
731,77,77,77,67,80,67,80
732,77,66,86,66,86,77,77
733,86,86,67,67,67,67,86
734,77,77,66,66,66,66,77
735,66,66,80,80,80,80,66
736,80,86,86,80,80,80,66
737,80,80,80,77,80,67,80
738,67,67,77,77,67,77,67
739,63,63,63,63,63,63,77
740,80,86,86,86,80,86,69
741,88,69,69,88,88,88,88
742,69,88,69,69,88,88,80
743,69,73,88,88,69,73,88
744,80,80,80,80,89,80,69
745,45,45,45,77,77,77,45
746,77,58,58,77,77,77,58
747,86,66,86,86,77,77,66
748,86,73,70,88,70,73,88
749,70,70,70,77,77,77,70
750,80,80,70,70,80,80,70
751,70,88,88,70,86,88,88
752,71,73,73,73,88,71,71
753,67,67,67,67,67,67,80
754,88,78,78,88,78,78,88
755,87,87,81,76,74,74,74
756,68,68,77,77,68,68,77
757,68,68,79,79,79,79,79
758,88,88,87,69,88,69,88
759,73,68,68,73,73,68,73
760,68,87,68,68,68,68,87
761,88,88,68,88,88,88,88
762,80,80,80,80,69,80,69
763,69,69,69,69,77,77,77
764,69,86,77,77,86,69,86
765,65,65,65,65,77,77,86
766,69,69,69,79,69,69,79
767,83,68,83,83,83,68,68
768,68,76,74,76,76,74,68
769,87,85,68,74,85,73,74
770,78,82,78,88,78,85,82
771,88,68,87,87,73,73,88
772,68,68,80,68,68,68,68
773,88,88,88,88,67,67,67
774,83,83,83,68,83,68,83
775,86,77,68,80,68,68,68
776,80,68,80,80,80,68,80
777,68,68,83,68,83,68,68
778,86,86,77,80,86,80,68
779,73,73,73,67,67,67,67
780,67,77,77,67,77,67,77
781,77,77,86,77,77,77,68
782,80,80,80,80,80,67,80
783,67,67,77,86,77,67,67
784,80,66,83,83,80,83,83
785,86,67,77,67,67,86,77
786,68,77,86,86,77,77,86
787,68,80,68,77,77,68,68
788,83,83,83,83,88,67,83
789,77,77,77,77,68,80,68
790,68,68,77,68,68,68,77
791,76,68,76,76,68,76,68
792,67,67,67,77,77,77,67
793,77,67,77,77,77,77,77
794,86,86,80,67,80,86,67
795,76,76,76,67,77,76,76
796,86,77,86,67,77,86,77
797,73,87,73,87,87,73,67
798,73,68,68,68,73,73,73
799,80,80,80,68,80,68,68
800,83,68,68,68,83,83,83
801,77,67,77,77,77,77,67
802,73,88,73,88,73,88,78
803,73,89,66,73,66,66,66
804,77,77,67,67,77,77,67
805,77,77,85,66,77,66,77
806,66,73,80,80,73,66,66
807,66,80,66,80,80,66,80
808,80,66,73,66,66,73,66
809,80,66,66,85,73,73,66
810,73,73,73,67,67,73,73
811,66,66,66,66,79,66,66
812,74,76,74,74,76,76,74
813,79,69,69,69,69,79,79
814,79,67,67,67,67,67,67
815,86,69,69,69,69,80,69
816,83,68,83,83,68,68,68
817,69,69,69,80,69,69,69
818,69,77,77,77,69,77,69
819,77,69,77,69,77,77,69
820,75,76,69,75,77,77,75
821,86,77,69,77,69,86,77
822,80,41,80,80,80,41,80
823,69,88,88,82,78,78,69
824,77,77,77,69,69,69,77
825,73,88,87,87,88,88,87
826,74,69,69,74,74,69,74
827,74,69,69,73,73,74,73
828,76,74,74,74,74,74,76
829,69,74,74,74,73,69,73
830,73,88,69,88,73,88,73
831,88,69,69,74,87,74,73
832,76,80,81,81,76,76,69
833,69,69,69,73,69,69,69
834,83,83,68,88,83,83,88
835,86,84,7,77,77,7,77
836,77,77,77,86,77,77,12
837,80,14,80,80,14,80,14
838,73,73,69,73,73,69,73
839,83,83,88,88,88,88,88
840,90,80,80,90,80,90,69
841,73,69,73,88,69,73,69
842,80,80,77,80,76,80,76
843,77,76,76,77,32,77,76
844,78,69,78,69,78,69,69
845,69,69,69,69,69,69,69
846,86,69,80,80,69,80,80
847,79,80,69,80,79,79,79
848,17,17,82,17,17,88,88
849,86,73,63,86,86,86,63
850,79,69,79,69,79,69,69
851,80,80,80,39,39,80,80
852,80,69,69,88,88,69,69
853,83,83,77,77,77,83,65
854,83,77,60,60,83,83,60
855,80,73,86,88,88,54,86
856,77,77,80,77,77,77,64
857,79,69,79,79,69,69,79
858,69,83,69,69,69,83,83
859,83,83,83,77,59,77,59
860,88,83,83,88,60,60,88
861,59,59,83,59,59,59,59
862,76,77,74,74,77,74,76
863,69,69,69,80,69,80,69
864,77,77,77,69,69,77,77
865,80,70,70,70,80,70,80
866,86,86,77,77,77,86,86
867,69,69,69,80,80,69,80
868,80,70,70,80,70,70,80
869,77,70,77,86,77,86,77
870,86,86,86,86,70,86,70
871,77,77,70,77,70,70,77
872,70,86,70,86,86,86,70
873,70,77,70,86,77,70,86
